Id,Mulheres,OBITOS C50,TAXA POR 100 MIL,Descrição grupo
48.0,5571.0,2.0,35.90019745108598,Técnicos agropecuários; Técnicos florestais
49.0,1031033.0,109.0,10.57192155828184,Cabeleireiros; Especialistas em tratamento de beleza e afins
50.0,18950.0,1.0,5.277044854881266,Técnicos em aparelhos de diagnóstico e tratamento médico
51.0,32794.0,2.0,6.098676587180582,Técnicos e profissionais de nível médio em ciências biológicas (exclusive da medicina); Técnicos de laboratórios médicos
52.0,20871.0,2.0,9.582674524459776,Técnicos em ciências físicas e da engenharia não classificados anteriormente
53.0,35330.0,9.0,25.47410133031418,Fiscais e cobradores de transportes públicos
54.0,82704.0,21.0,25.39175856065003,"Contabilistas e guarda livros; Profissionais de nível médio de serviços estatísticos, matemáticos e afins"
55.0,33095.0,5.0,15.108022359873091,Agentes de seguros
56.0,49284.0,8.0,16.232448664881097,Agentes imobiliários
57.0,16200.0,39.0,240.74074074074073,Corretores de comercialização
58.0,35167.0,4.0,11.374299769670431,Operadores de entrada de dados
59.0,680348.0,16.0,2.351737640148865,Caixas de banco e afins; Coletores de apostas e de jogos; Caixas e expedidores de bilhetes
60.0,253245.0,2.0,0.789749057237063,Vendedores a domicilio; Vendedores por telefone
61.0,179634.0,10.0,5.566874867786722,Porteiros e zeladores
62.0,20284.0,2.0,9.8599881680142,"Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos; Governantas e mordomos domésticos"
63.0,330920.0,2.0,0.6043756799226399,"Guardas de segurança; Trabalhadores dos serviços de proteção e segurança não classificados anteriormente; Mensageiros, carregadores de bagagens e entregadores de encomendas; Outras ocupações elementares não classificadas anteriormente"
64.0,213450.0,30.0,14.054813773717498,Garçons; Atendentes de bar
65.0,4671204.0,335.0,7.171598585717943,Trabalhadores dos serviços domésticos em geral
66.0,871467.0,112.0,12.851892269013055,Chefes de cozinha; Cozinheiros; Preparadores de comidas rápidas
67.0,530799.0,8.0,1.5071618446907398,Trabalhadores elementares da indústria de transformação não classificados anteriormente; Classificadores de resíduos
68.0,10810.0,7.0,64.75485661424607,Varredores e afins; Pessoas que realizam várias tarefas; Carregadores de água e coletores de lenha
69.0,1535896.0,11.0,0.7161943256574664,"Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos; Ajudantes de cozinha"
70.0,290052.0,7.0,2.4133603629693985,Ajudantes de ambulâncias; Trabalhadores de cuidados pessoais em instituições; Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente
71.0,777461.0,3.0,0.3858714456416463,Cuidadores de crianças; Ajudantes de professores
72.0,17807.0,1.0,5.615769079575448,Policiais
73.0,2307547.0,121.0,5.243663509345638,Supervisores de lojas; Balconistas e vendedores de lojas; Demonstradores de lojas; Frentistas de posto de gasolina; Balconistas dos serviços de alimentação; Vendedores não classificados anteriormente
74.0,36145.0,4.0,11.066537557061835,Vendedores ambulantes de serviços de alimentação
75.0,201847.0,16.0,7.926796038583679,Vendedores ambulantes (exclusive de serviços de alimentação)
76.0,58895.0,217.0,368.45233041854146,Produtores e trabalhadores qualificados de exploração agropecuária mista
77.0,792417.0,275.0,34.70395006669468,Agricultores e trabalhadores qualificados de cultivos mistos
78.0,678652.0,6.0,0.8841055504146454,"Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)"
79.0,234688.0,1.0,0.4260976274884101,"Agricultores e trabalhadores qualificados no cultivo de hortas, viveiros e jardins"
80.0,394007.0,3.0,0.7614077922473459,"Criadores de gado e trabalhadores qualificados da criação de gado; Avicultores e trabalhadores qualificados da avicultura; Apicultores, sericicultores e trabalhadores qualificados da apicultura e sericicultura"
81.0,24.0,5.0,20833.333333333332,Trabalhadores subaquáticos
82.0,179811.0,1.0,0.5561395020326898,"Pedreiros; Canteiros, cortadores e gravadores de pedras"
83.0,4968.0,1.0,20.128824476650564,Eletricistas de obras e afins
84.0,43472.0,10.0,23.003312476996687,Trabalhadores elementares da construção de edifícios
85.0,16539.0,1.0,6.046314771146986,Controladores de processos de produção de metais; Operadores de instalações de processamento de metais
86.0,7629.0,1.0,13.107877834578582,Soldadores e oxicortadores
87.0,11332.0,2.0,17.649135192375574,Mecânicos e ajustadores eletricistas
88.0,59771.0,4.0,6.692208596141942,"Artesãos de tecidos, couros e materiais semelhantes; Operadores de teares e outras máquinas de tecelagem"
89.0,2217.0,1.0,45.10599909788002,Trabalhadores qualificados do tratamento de couros e peles
90.0,7248.0,5.0,68.98454746136865,"Alfaiates, modistas, chapeleiros e peleteiros"
91.0,36655.0,1.0,2.7281407720638384,"Costureiros, bordadeiros e afins"
92.0,9321.0,1.0,10.7284626113078,Operadores de máquinas de lavrar madeira
93.0,67844.0,6.0,8.843818171098402,"Condutores de automóveis, taxis e caminhonetes"
94.0,3095.0,2.0,64.62035541195478,Trabalhadores da degustação e classificação de alimentos e bebidas
95.0,177463.0,3.0,1.6904932295746156,"Padeiros, confeiteiros e afins"
96.0,76162.0,1.0,1.3129907302854442,Magarefes e afins
