Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
5;Gerentes de empresas de intermediación y servicios a empresas;1317;1211;p;Directores financieros;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1212;p;Directores de recursos humanos;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1221;p;Directores de ventas y comercialización;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1222;p;Directores de publicidad y relaciones públicas;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1330;p;Directores de servicios de tecnología de la información y las comunicaciones;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1346;;Gerentes de sucursales de bancos, de servicios financieros y de seguros;
4;Gerentes de empresas de servicios de cuidados personales, limpieza y servicios similares;1318;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1223;p;Directores de investigación y desarrollo;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1341;p;Directores de servicios de cuidados infantiles;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1342;p;Directores de servicios de salud;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1343;p;Directores de servicios de cuidado de las personas de edad;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1344;p;Directores  de servicios de bienestar social;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1345;p;Directores de servicios de educación;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1349;p;Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1431;;Gerentes de centros deportivos, de esparcimiento y culturales;
4;Gerentes de empresas, no clasificados bajo otros epígrafes;1319;1439;p;Gerentes de servicios no clasificados bajo otros epígrafes;
4;Físicios y astrónomos;2111;2111;;Físicos y astrónomos;
4;Meteorólogos;2112;2112;;Meteorólogos;
4;Químicos;2113;2113;;Químicos;
4;Químicos;2113;2262;p;Farmacéuticos;
4;Geólogos y geofísicos;2114;2114;;Geólogos y geofísicos;
4;Matemáticos y afines;2121;2120;p;Matemáticos, actuarios y estadísticos;
4;Estadísticos;2122;2120;p;Matemáticos, actuarios y estadísticos;
4;Creadores y analistas de sistemas informáticos;2131;2511;;Analistas de sistemas;
4;Creadores y analistas de sistemas informáticos;2131;2512;;Desarrolladores de software;
4;Creadores y analistas de sistemas informáticos;2131;2513;p;Desarrolladores Web y multimedia;
4;Creadores y analistas de sistemas informáticos;2131;2519;p;Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes;
4;Creadores y analistas de sistemas informáticos;2131;2521;;Diseñadores y administradores de bases de datos;
4;Creadores y analistas de sistemas informáticos;2131;2522;;Administradores de sistemas;
4;Creadores y analistas de sistemas informáticos;2131;2523;;Profesionales en redes de computadores;
4;Creadores y analistas de sistemas informáticos;2131;2529;p;Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes;
4;Programadores informáticos;2132;2513;p;Desarrolladores Web y multimedia;
4;Programadores informáticos;2132;2514;;Programadores de aplicaciones;
4;Programadores informáticos;2132;2519;p;Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes;
4;Programadores informáticos;2132;2529;p;Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes;
4;Profesionales de la informática, no clasificados bajos otros epígrafes;2139;2513;p;Desarrolladores Web y multimedia;
4;Profesionales de la informática, no clasificados bajos otros epígrafes;2139;2519;p;Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes;
